Ticker;Variable;2012;2013;2014;2015;2016
CBS;open;36.209.999;58.599.998;54.560.001;50.759.998;60.740.002
CBS;high;38.099.998;64.059.998;56.669.998;51.259.998;65.089.996
CBS;low;34.720.001;57.52;51.389.999;45.369.999;59.32
CBS;close;38.049.999;63.740.002;55.34;47.130.001;63.619.999
CBS;adjclose;35.810.566;60.638.283;53.087.532;45.722.305;62.479.919
CBS;volume;115567400;83984500;130223700;92661100;92841100
CCE;open;31.32;41.93;43.630.001;50.720.001;32.57
CCE;high;32.5;44.360.001;45.57;51.299.999;32.73
CCE;low;30.870.001;40.549.999;41.77;48.099.998;30.549.999
CCE;close;31.73;44.130.001;44.220.001;49.240.002;31.4
CCE;adjclose;20.193.712;28.678.843;29.373.154;33.486.496;30.210.827
CCE;volume;64842900;36578800;46950900;53549800;43671000
CCI;open;67.849.998;74.099.998;82.809.998;86.18;83.190.002
CCI;high;72.300.003;76.080.002;83.190.002;88.150.002;88.25
CCI;low;65.970.001;70.43;74.449.997;84.160.004;80.82
CCI;close;72.160.004;73.43;78.699.997;86.449.997;86.769.997
CCI;adjclose;61.877.815;62.966.843;68.430.649;78.316.528;81.812.065
CCI;volume;26028100;46911500;64226800;49262600;44846400
CCL;open;38.830.002;35.900.002;43.75;51.130.001;50.849.998
CCL;high;39.950.001;40.470.001;46.310.001;55.77;53.669.998
CCL;low;36.02;34.82;41.860.001;49.150.002;49.73
CCL;close;36.77;40.169.998;45.330.002;54.48;52.060.001
CCL;adjclose;31.456.385;3.582.473;41.461.441;50.972.767;50.427.261
