"","Ticker","Date","Year","Ra","Rf","Rm","Ra_Rf","Rm_Rf","Beta","AlphaJensen"
"8039","DOV",2014-12-01,2014,-0.070905832731783,0,-6e-04,-0.070905832731783,-6e-04,1.35912778037728,-0.0700903560635566
"8049","DOV",2015-12-01,2015,-0.0721953664558316,1e-04,-0.0216,-0.0722953664558316,-0.0217,1.35912778037728,-0.0428022936216447
"8062","DOV",2016-12-01,2016,0.0314515478609266,3e-04,0.0185,0.0311515478609266,0.0182,1.35912778037728,0.00641542225806014
"8076","DPS",2011-12-01,2011,0.0861669491759316,0,0.0074,0.0861669491759316,0.0074,-0.150827413415878,0.0872830720352091
"8085","DPS",2012-12-01,2012,-0.00749732866852914,1e-04,0.0119,-0.00759732866852914,0.0118,-0.150827413415878,-0.00581756519022178
"8098","DPS",2013-12-01,2013,0.0173836109448443,0,0.0281,0.0173836109448443,0.0281,-0.150827413415878,0.0216218612618305
"8106","DPS",2014-12-01,2014,-0.0260813395762649,0,-6e-04,-0.0260813395762649,-6e-04,-0.150827413415878,-0.0261718360243144
"8121","DPS",2015-12-01,2015,0.0430119599816685,1e-04,-0.0216,0.0429119599816685,-0.0217,-0.150827413415878,0.0396390051105439
"8134","DPS",2016-12-01,2016,0.0503710513727281,3e-04,0.0185,0.0500710513727281,0.0182,-0.150827413415878,0.0528161102968971
"8143","DTE",2011-12-01,2011,0.0450408840295617,0,0.0074,0.0450408840295617,0.0074,0.293007925313972,0.0428726253822383
"8152","DTE",2012-12-01,2012,0.00150487008561546,1e-04,0.0119,0.00140487008561546,0.0118,0.293007925313972,-0.0020526234330894
"8166","DTE",2013-12-01,2013,0.00471607080757033,0,0.0281,0.00471607080757033,0.0281,0.293007925313972,-0.00351745189375227
"8184","DTE",2014-12-01,2014,0.0669808342977085,0,-6e-04,0.0669808342977085,-6e-04,0.293007925313972,0.0671566390528969
"8187","DTE",2015-12-01,2015,0.00533155852577958,1e-04,-0.0216,0.00523155852577958,-0.0217,0.293007925313972,0.0115898305050928
