Date;RF;Mkt-RF;SMB;HML
01-07-67;    0.31;    4.58;    3.08;    2.65
01-08-67;    0.31;   -0.89;    0.47;    1.46
01-09-67;    0.32;    3.11;    3.10;   -2.47
01-10-67;    0.39;   -3.09;    1.42;   -3.39
01-11-67;    0.36;    0.37;    0.20;   -1.71
01-12-67;    0.33;    3.05;    5.73;   -0.39
01-01-68;    0.40;   -4.06;    3.91;    4.75
01-02-68;    0.39;   -3.75;   -2.95;    1.17
01-03-68;    0.38;    0.20;   -1.28;   -0.59
01-04-68;    0.43;    9.05;    5.73;   -1.03
01-05-68;    0.45;    2.28;    6.43;    0.84
01-06-68;    0.43;    0.69;   -0.17;    0.67
01-07-68;    0.48;   -2.72;   -1.30;    5.48
01-08-68;    0.42;    1.34;    2.34;    1.00
