"";"Ticker";"Year";"Close";"Volume"
"1202";"MSFT";"2013";37,41;826617700
"1203";"MSFT";"2014";46,45;626771200
"1204";"MSFT";"2015";55,48;791895100
"1205";"MSFT";"2016";62,14;513256500
"1206";"MSI";"2012";55,68;30483100
"1207";"MSI";"2013";67,5;25180400
"1208";"MSI";"2014";67,08;31161900
"1209";"MSI";"2015";68,45;20358000
"1210";"MSI";"2016";82,89;18091300
"1211";"MTB";"2012";98,47;16311200
"1212";"MTB";"2013";116,42;20712200
"1213";"MTB";"2014";125,62;15213000
"1214";"MTB";"2015";121,18;19588800
"1215";"MTB";"2016";154,17;22083900
"1216";"MU";"2012";6,34;476319100
"1217";"MU";"2013";21,75;808447200
"1218";"MU";"2014";35,01;359420900
"1219";"MU";"2015";14,16;503509000
"1220";"MU";"2016";21,92;631585800
"1221";"MXIM";"2012";29,4;49168500
"1222";"MXIM";"2013";27,9;54391800
"1223";"MXIM";"2014";31,87;65768500
"1224";"MXIM";"2015";38;61135500
"1225";"MXIM";"2016";38,57;32735900
"1226";"MYL";"2012";27,45;112149600
"1227";"MYL";"2013";43,4;70973100
"1228";"MYL";"2014";56,37;64264200
"1229";"MYL";"2015";54,07;125126300
"1230";"MYL";"2016";38,15;107356500
"1231";"NBL";"2012";50,87;39884200
"1232";"NBL";"2013";68,11;49350200
"1233";"NBL";"2014";47,43;95280800
"1234";"NBL";"2015";32,93;98449900
"1235";"NBL";"2016";38,06;74623600
"1236";"NEE";"2012";69,19;33076200
"1237";"NEE";"2013";85,62;45446200
"1238";"NEE";"2014";106,29;49164200
