"","symbol","section","sub.section","group","date","Asset Turnover","Cash Conversion Cycle","Days Inventory","Days Sales Outstanding","Fixed Assets Turnover","Inventory Turnover","Payables Period","Receivables Turnover"
"15671","KMB","Efficiency Ratios","Efficiency",85,2008-12-01,1.06,NA,NA,NA,NA,NA,NA,NA
"15672","KMB","Efficiency Ratios","Efficiency",85,2009-12-01,1.02,NA,NA,NA,NA,NA,NA,NA
"15673","KMB","Efficiency Ratios","Efficiency",85,2010-12-01,1.01,NA,NA,NA,NA,NA,NA,NA
"15674","KMB","Efficiency Ratios","Efficiency",85,2011-12-01,1.06,NA,NA,NA,NA,NA,NA,NA
"15675","KMB","Efficiency Ratios","Efficiency",85,2012-12-01,1.07,NA,NA,NA,NA,NA,NA,NA
"15676","KMB","Efficiency Ratios","Efficiency",85,2013-12-01,1.09,NA,NA,NA,NA,NA,NA,NA
"15677","KMB","Efficiency Ratios","Efficiency",85,2014-12-01,1.15,NA,NA,NA,NA,NA,NA,NA
"15678","KMB","Efficiency Ratios","Efficiency",85,2015-12-01,1.22,NA,NA,NA,NA,NA,NA,NA
"15679","KMB","Efficiency Ratios","Efficiency",85,2016-12-01,1.24,NA,NA,NA,NA,NA,NA,NA
"15680","KMB","Efficiency Ratios","Efficiency",85,2017-12-01,1.23,NA,NA,NA,NA,NA,NA,NA
"15681","KMI","Efficiency Ratios","Efficiency",78,2008-12-01,NA,NA,NA,NA,NA,NA,NA,NA
"15682","KMI","Efficiency Ratios","Efficiency",78,2009-12-01,NA,NA,NA,46.54,NA,NA,NA,NA
"15683","KMI","Efficiency Ratios","Efficiency",78,2010-12-01,NA,NA,NA,42.06,NA,NA,NA,NA
"15684","KMI","Efficiency Ratios","Efficiency",78,2011-12-01,NA,NA,NA,41.64,NA,NA,NA,NA
"15685","KMI","Efficiency Ratios","Efficiency",78,2012-12-01,NA,NA,NA,42.42,NA,NA,NA,NA
"15686","KMI","Efficiency Ratios","Efficiency",78,2013-12-01,NA,NA,NA,40.53,NA,NA,NA,NA
"15687","KMI","Efficiency Ratios","Efficiency",78,2014-12-01,NA,NA,NA,37.81,NA,NA,NA,NA
"15688","KMI","Efficiency Ratios","Efficiency",78,2015-12-01,NA,NA,NA,37.46,NA,NA,NA,NA
