"";"Companies";"Year";"Ra";"ROA";"ROE";"TobinsQ";"AlphaJensen";"CarbonProductivity";"WaterProductivity";"WasteProductivity";"EnergyProductivity";"SustainabilityPayLink";"SustainableThemedCommitment";"AuditScore";"FirmSize";"Leverage";"NetMargin";"Industry";"Beta"
"152";149;2014;0,00410994686326844;0,11;0,13;NA;0,00383454094140143;0,04;0;0;0,05;0;0;0;10,6;0;0,23;7;-0,459009869778355
"153";149;2015;0,00402112553295915;0,08;0,09;NA;0,0238418101023764;0,06;0;0;0;0;0;0;10,69;0;0,2;7;0,918003897208168
"154";15;2013;0,0196474272107625;0,03;0,09;0,7;-0,00360544041374561;0,03;0;0;0,52;1;1;0;10,32;1,05;0,1;11;0,827504185925556
"155";15;2014;0,0772245179786794;0,03;0,1;0,8;0,0777002692359426;0,01;0;0;0,09;1;1;0;10,36;0,96;0,1;11;0,792918762105364
"156";15;2015;-0,00233097691277153;0,03;0,12;0,74;-0,00211068566870568;0,01;0,01;0;0,07;1;1;0;10,37;0,99;0,12;11;0,0147599651643252
"157";150;2013;0,036974858843219;0,05;0,1;0,91;0,0127577577800381;0,39;0;0,51;0,25;0;0;1;10,53;0,16;0,04;6;0,861818543173696
"158";150;2014;-0,0245753327401081;0,07;0,15;1,55;-0,0241806795186847;0,03;0;0,08;0,01;1;1;1;10,52;0,3;0,05;6;0,657755369039037
"159";150;2015;-0,0604259790872707;0,03;0,08;1,22;-0,031820345216484;0,02;0;0,06;0,01;1;0;1;10,58;0,57;0,02;6;1,32284027054317
"160";151;2013;0,0106692654569;0,01;0,03;0,35;0,00789150179123549;0;0;0;0;0;0;1;10,7;1,25;0,03;11;0,0988527994898404
"161";151;2014;0,0556360855612569;0,01;0,02;0,36;0,0564685583240802;0;0;0;0;0;0;1;10,72;1,54;0,02;11;1,38745460470547
"162";151;2015;0,0107732449346684;0,01;0,05;0,31;0,00592529986615769;0,03;0;0;0;0;0;1;10,72;1,55;0,04;11;-0,218799311912936
"163";152;2013;0,0618750251801496;0,04;0,09;1,38;0,0454995382875156;0;0;0;0;0;0;0;10,14;1,23;0,1;7;0,58275754066313
"164";152;2014;0,020314194516278;0,03;0,07;1,51;0,0208968833511026;0;0;0;0;0;0;0;10,16;0,64;0,08;7;0,971148058040911
"165";152;2015;-0,0451611144590364;0,05;0,1;1,14;-0,0329685337849149;0,04;0;0;0;0;0;0;10,42;0,77;0,11;7;0,566478372079328
"166";153;2013;0,0720518577444838;0,07;0,19;1,96;0,0515362939077836;0;0;0;0;0;0;0;9,98;1,05;0,13;7;0,730091239740224
"167";153;2014;-0,00730027108500674;0,08;0,22;2,23;-0,00686907113719695;0;0;0;0;0;0;0;9,97;1,13;0,15;7;0,718666579682986
"168";153;2015;-0,0509433326551343;0,08;0,24;2,67;-0,0326515477885186;0,07;0;0;0;0;0;0;9,97;1,61;0,14;7;0,847547689705791
"169";154;2013;0,0400644498509051;0,01;0,13;0,18;0,00545734560000821;0,15;0;0;0,08;0;0;1;11,12;0;0,27;4;1,23156954629526
"170";154;2014;0,0191736493593901;0,01;0,1;0,17;0,019521889035056;0,03;0;0;0;1;0;1;11,14;0;0,23;4;0,580399459443202
