"";"Companies";"YearFinancialIndicator";"ROA";"TobinsQ";"ROE";"YearNewsWeekGR";"GreenScore";"EnergyProductivity";"CarbonProductivity";"WaterProductivity";"WasteProductivity";"Green.Revenue";"SustainabilityPayLink";"SustainableThemedCommitment";"AuditScore";"FirmSize";"Leverage";"NetMargin";"Industry"
"135";45;2015;0,01;0,3;0,08;2016;0,13;0;0,03;0;0;0,1;0;0;0;11,32;0,96;0,2;4
"136";46;2013;-0,02;0,8;-0,11;2014;0,5;0,68;0,6;0;0,72;0,49;0;0,05;0,05;10,18;0,43;-0,02;1
"137";46;2014;0,07;0,54;0,23;2015;0,65;0,13;0,07;0,08;0,08;0,1;0,1;0,05;0,05;10,2;0,35;0,02;1
"138";46;2015;0,06;0,7;0,2;2016;0,68;0,13;0,11;0,09;0,06;0,1;0,1;0,05;0,05;10,18;0,27;0,02;1
"139";47;2013;0,16;NA;0,38;2014;0,06;0;0;0;0;0,29;0;0;0;9,7;0,67;0,22;5
"140";47;2014;0,06;NA;0,16;2015;0,12;0;0;0;0;0,12;0;0;0;9,71;0,78;0,09;5
"141";47;2015;0,03;NA;0,08;2016;0,19;0;0,07;0;0;0,12;0;0;0;9,69;0,79;0,04;5
"142";48;2013;0,08;1,77;0,19;2014;0,17;0,1;0,14;0,06;0,31;0,38;0;0;0;10,08;0,74;0,11;5
"143";48;2014;0,08;1,45;0,22;2015;0,38;0,02;0,04;0,03;0,01;0,14;0,1;0,05;0;10,27;1,96;0,14;5
"144";48;2015;0,03;1,63;0,1;2016;0,42;0,03;0,04;0,03;0,03;0,14;0,1;0,05;0;10,42;1,5;0,06;5
"145";49;2013;0,15;1,83;0,22;2014;0,33;0,65;0,48;0;0;0,78;0;0;0;10,2;0,23;0,27;4
"146";49;2014;0,14;1,57;0,21;2015;0,28;0;0,08;0;0;0,1;0,1;0;0;10,21;0,19;0,28;4
"147";49;2015;0,12;0,78;0,16;2016;0,29;0;0,09;0;0;0,1;0,1;0;0;10,21;0,18;0,25;4
"148";50;2013;0,16;3,83;0,37;2014;0,58;0,31;0,6;0,44;0;0,91;0,1;0,05;0,05;9,59;0,54;0,16;2
"149";50;2014;0,16;4,43;0,33;2015;0,58;0,06;0,09;0,13;0;0,1;0,1;0,05;0,05;9,63;0,48;0,17;2
"150";50;2015;0,16;5,35;0,39;2016;0,62;0,09;0,1;0,14;0;0,1;0,1;0,05;0,05;9,64;0,88;0,17;2
"151";51;2013;0,01;0,4;0,02;2014;0,26;0,21;0,36;0,41;0,47;0,22;0;0;0;10,43;0,93;0;2
"152";51;2014;0,02;0,58;0,06;2015;0,38;0,05;0,07;0,05;0,06;0,1;0;0,05;0;10,33;0,37;0,01;2
"153";51;2015;0,04;0,55;0,11;2016;0,37;0,03;0,07;0,07;0,05;0,1;0;0,05;0;10,25;0,51;0,02;2
"154";52;2013;0,04;NA;0,06;2014;0,71;0,75;0,75;0,61;0,14;0,85;0,1;0,05;0,05;10,45;0,22;0,05;3
"155";52;2014;0,06;NA;0,09;2015;0,39;0,07;0,1;0;0;0,02;0,1;0,05;0,05;10,46;0,21;0,07;3
"156";52;2015;-0,08;NA;-0,11;2016;0,49;0,1;0,09;0,06;0,02;0,03;0,1;0,05;0,05;10,38;0,24;-0,02;3
"157";53;2013;0,17;5,06;0,23;2014;0,76;0,69;0,83;0,85;0,97;0,53;0,1;0;0,05;10,07;0,13;0,27;5
"158";53;2014;0,22;5;0,29;2015;0,89;0,14;0,14;0,13;0,11;0,17;0,1;0,05;0,05;10,16;0,05;0,3;5
"159";53;2015;0,2;3,29;0,32;2016;0,79;0,13;0,14;0,11;0,14;0,17;0;0,05;0,05;10,29;0,7;0,33;5
"160";54;2013;0,01;-0,17;0,06;2014;0,53;0,15;0,26;0,41;0,4;0,72;0,1;0,05;0,05;11,57;0,57;0,14;4
"161";54;2014;0,01;-0,07;0,07;2015;0,44;0,01;0,02;0,05;0,06;0,1;0,1;0,05;0,05;11,59;0,59;0,16;4
"162";54;2015;0,01;-0,1;0,09;2016;0,42;0,02;0,02;0,05;0,03;0,1;0,1;0,05;0,05;11,6;0,62;0,2;4
"163";55;2013;0,28;NA;0,4;2014;0;0;0;0;0;0;0;0;0;8,74;0;0,14;3
"164";55;2014;0,27;NA;0,4;2015;0,05;0;0;0;0;0,05;0;0;0;8,79;0;0,13;3
"165";55;2015;0,28;NA;0,39;2016;0,05;0;0;0;0;0,05;0;0;0;8,77;0;0,14;3
"166";56;2013;0,01;0,26;0,11;2014;0,38;0,75;0,71;0;0;0,29;0,1;0;0;11,34;0,19;0,29;4
"167";56;2014;0,01;0,26;0,12;2015;0,29;0;0,09;0;0;0,1;0,1;0;0;11,38;0,18;0,3;4
"168";56;2015;0,01;0,25;0,12;2016;0,44;0,11;0,09;0;0;0,1;0,1;0;0,05;11,35;0,17;0,29;4
"169";57;2013;0,06;1,28;0,37;2014;0,84;0,7;0,75;0,76;0,83;0,89;0,1;0,05;0,05;9,89;2,65;0,05;8
"170";57;2014;0,06;1,59;0,41;2015;0,58;0,07;0,05;0,08;0,09;0,09;0,1;0,05;0,05;9,88;2,9;0,05;8
"171";57;2015;0,04;1,57;0,26;2016;0,69;0,09;0,08;0,11;0,13;0,09;0,1;0,05;0,05;9,99;4,04;0,04;8
"172";58;2013;-0,09;4,36;-0,15;2014;0;0;0;0;0;0;0;0;0;9,35;0,49;-0,32;5
"173";58;2014;-0,06;5,24;-0,09;2015;0,22;0;0;0;0;0,17;0;0;0,05;9,39;0,43;-0,18;5
"174";58;2015;-0,06;4,54;-0,09;2016;0,24;0;0,02;0;0;0,17;0;0;0,05;9,57;0,28;-0,19;5
"175";59;2013;0,07;2,3;0,18;2014;0,49;0,18;0,34;0,49;0,28;0,46;0,1;0,05;0,05;10,59;0,63;0,16;5
"176";59;2014;0,06;2,92;0,13;2015;0,54;0,02;0,06;0,08;0,06;0,14;0,1;0,05;0,05;10,53;0,49;0,13;5
"177";59;2015;0,05;3,73;0,1;2016;0,6;0,02;0,07;0,09;0,08;0,14;0,1;0,05;0,05;10,5;0,46;0,09;5
"178";60;2013;0,04;0,69;0,09;2014;0,02;0;0;0;0;0,1;0;0;0;11,69;0,02;0,11;4
"179";60;2014;0,04;0,75;0,08;2015;0,12;0;0;0;0;0,12;0;0;0;11,72;0,01;0,1;4
